experiment_id,frequency,realm,member_id,variable_id,time_range,chunk_freq,cell_methods,standard_name,pass_qc,who_qc,path
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,6hr,atmos_4xdaily_avg,pp_ens_01,precip,2071010100-2080123123,10yr,ts,Total_precipitation_rate,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.2071010100-2080123123.precip.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,6hr,atmos_4xdaily_avg,pp_ens_01,snow_tot,2081010100-2090123123,10yr,ts,Frozen_precip_rate_from_all_sources,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.2081010100-2090123123.snow_tot.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,6hr,atmos_4xdaily_avg,pp_ens_01,precip,2061010100-2070123123,10yr,ts,Total_precipitation_rate,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.2061010100-2070123123.precip.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,6hr,atmos_4xdaily_avg,pp_ens_01,precip,2041010100-2050123123,10yr,ts,Total_precipitation_rate,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.2041010100-2050123123.precip.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20210101-20301231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20110101-20201231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20310101-20401231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20810101-20901231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20210101-20301231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20810101-20901231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20510101-20601231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20310101-20401231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20110101-20201231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20910101-21001231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20510101-20601231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20210101-20301231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20910101-21001231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20710101-20801231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20410101-20501231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20310101-20401231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20710101-20801231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20510101-20601231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20410101-20501231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20710101-20801231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20410101-20501231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20810101-20901231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20110101-20201231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,wind_ref,20610101-20701231,10yr,ts,absolute_value_of_wind_at_10_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.wind_ref.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20910101-21001231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_min.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_max,20610101-20701231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc
SPEAR_c192_o1_Scen_SSP585_IC2011_K50,day,atmos_daily,pp_ens_01,t_ref_min,20610101-20701231,10yr,ts,temperature_at_2_m,false,,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_min.nc
