activity_id,institution_id,source_id,experiment_id,frequency,realm,table_id,member_id,grid_label,variable_id,time_range,chunk_freq,platform,dimensions,cell_methods,standard_name,pass_qc,path
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1951010100-1960123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1951010100-1960123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1961010100-1970123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1961010100-1970123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1971010100-1980123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1971010100-1980123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1981010100-1990123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1981010100-1990123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1931010100-1940123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1931010100-1940123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,2001010100-2010123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.2001010100-2010123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1921010100-1930123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1921010100-1930123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,precip,1941010100-1950123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1941010100-1950123123.precip.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1941010100-1950123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1941010100-1950123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1931010100-1940123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1931010100-1940123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1951010100-1960123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1951010100-1960123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1961010100-1970123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1961010100-1970123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1971010100-1980123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1971010100-1980123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1981010100-1990123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1981010100-1990123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1991010100-2000123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1991010100-2000123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,2001010100-2010123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.2001010100-2010123123.snow_tot.nc
dev,,archive,SPEAR,6hr,atmos_4xdaily_avg,,,,snow_tot,1921010100-1930123123,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_4xdaily_avg/ts/6hr/10yr/atmos_4xdaily_avg.1921010100-1930123123.snow_tot.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19310101-19401231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19310101-19401231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19810101-19901231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19810101-19901231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,20010101-20101231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20010101-20101231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19910101-20001231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19910101-20001231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19210101-19301231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19210101-19301231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19610101-19701231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19610101-19701231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19510101-19601231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19510101-19601231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19410101-19501231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19410101-19501231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,wind_ref,19710101-19801231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19710101-19801231.wind_ref.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19310101-19401231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19310101-19401231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,20010101-20101231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20010101-20101231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19910101-20001231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19910101-20001231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19210101-19301231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19210101-19301231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19610101-19701231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19610101-19701231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19510101-19601231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19510101-19601231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19810101-19901231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19810101-19901231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19410101-19501231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19410101-19501231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_max,19710101-19801231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19710101-19801231.t_ref_max.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_min,19310101-19401231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19310101-19401231.t_ref_min.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_min,19810101-19901231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19810101-19901231.t_ref_min.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_min,20010101-20101231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.20010101-20101231.t_ref_min.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_min,19910101-20001231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19910101-20001231.t_ref_min.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_min,19210101-19301231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19210101-19301231.t_ref_min.nc
dev,,archive,SPEAR,day,atmos_daily,,,,t_ref_min,19610101-19701231,10yr,SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03,,ts,,False,/archive/wfc/SPEAR/SPEAR_c192_o1_Hist_AllForc_IC1921_K50_ens_01_03/pp_ens_01/atmos_daily/ts/daily/10yr/atmos_daily.19610101-19701231.t_ref_min.nc
